pressure,temperature,f,cpx_mass_frac
3.0,2000,1.0,0.0
3.0,2010,1.0,0.0
3.0,2020,1.0,0.0
3.0,2030,1.0,0.0
3.0,2040,1.0,0.0
3.0,2050,1.0,0.0
3.0,2060,1.0,0.0
3.0,2070,1.0,0.0
3.0,2080,1.0,0.0
3.0,2090,1.0,0.0
3.0,2100,1.0,0.0
3.0,2110,1.0,0.0
3.0,2120,1.0,0.0
3.0,2130,1.0,0.0
3.0,2140,1.0,0.0
3.0,2150,1.0,0.0
3.0,2160,1.0,0.0
3.0,2170,1.0,0.0
3.0,2180,1.0,0.0
3.0,2190,1.0,0.0
3.0,2200,1.0,0.0
3.0,2210,1.0,0.0
3.0,2220,1.0,0.0
3.0,2230,1.0,0.0
3.0,2240,1.0,0.0
3.0,2250,1.0,0.0
3.0,2260,1.0,0.0
3.0,2270,1.0,0.0
3.0,2280,1.0,0.0
3.0,2290,1.0,0.0
3.0,2300,1.0,0.0
3.0,2310,1.0,0.0
3.0,2320,1.0,0.0
3.0,2330,1.0,0.0
3.0,2340,1.0,0.0
3.0,2350,1.0,0.0
3.0,2360,1.0,0.0
3.0,2370,1.0,0.0
3.0,2380,1.0,0.0
3.0,2390,1.0,0.0
3.0,2400,1.0,0.0
3.0,2410,1.0,0.0
3.0,2420,1.0,0.0
3.0,2430,1.0,0.0
3.0,2440,1.0,0.0
3.0,2450,1.0,0.0
3.0,2460,1.0,0.0
3.0,2470,1.0,0.0
3.0,2480,1.0,0.0
3.0,2490,1.0,0.0
